,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 1, Census Tract 3231, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:323100> block group:1",2199,0,2199,18,145212,775,48,Middlesex County,122,210,1264
"Block Group 1, Census Tract 3334, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333400> block group:1",1385,197,1385,91,83636,338,366,Middlesex County,284,315,450
"Block Group 3, Census Tract 3334, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333400> block group:3",889,0,889,0,115885,248,91,Middlesex County,96,222,390
"Block Group 2, Census Tract 3334, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333400> block group:2",1442,48,1442,71,100648,455,109,Middlesex County,352,238,521
"Block Group 5, Census Tract 3334, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333400> block group:5",1218,24,1218,42,107438,321,87,Middlesex County,398,306,150
"Block Group 3, Census Tract 3341, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334100> block group:3",2128,27,2128,214,90721,597,175,Middlesex County,213,302,842
"Block Group 1, Census Tract 3341, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334100> block group:1",2108,0,2108,250,133750,721,47,Middlesex County,329,151,939
"Block Group 4, Census Tract 3671, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:367100> block group:4",1277,17,1277,32,203938,271,87,Middlesex County,174,38,769
"Block Group 1, Census Tract 3671, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:367100> block group:1",1033,9,1033,49,245114,291,18,Middlesex County,88,74,549
"Block Group 1, Census Tract 3343, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334300> block group:1",2065,1,2065,22,150398,667,0,Middlesex County,53,298,1061
"Block Group 2, Census Tract 3343, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334300> block group:2",1082,0,1082,0,145625,333,29,Middlesex County,85,67,524
"Block Group 3, Census Tract 3587, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358700> block group:3",1774,0,1774,10,202614,480,115,Middlesex County,74,76,951
"Block Group 3, Census Tract 3343, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334300> block group:3",1871,8,1871,22,109327,481,146,Middlesex County,339,276,719
"Block Group 2, Census Tract 3371.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:337102> block group:2",2173,72,2173,1,108587,596,160,Middlesex County,470,349,669
"Block Group 1, Census Tract 3587, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358700> block group:1",2213,0,2213,57,183147,716,75,Middlesex County,62,106,1372
"Block Group 2, Census Tract 3581, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358100> block group:2",1557,62,1557,97,141250,446,89,Middlesex County,131,106,807
"Block Group 4, Census Tract 3581, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358100> block group:4",1235,22,1235,12,114081,338,69,Middlesex County,117,99,655
"Block Group 3, Census Tract 3581, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358100> block group:3",1550,0,1550,0,199531,503,45,Middlesex County,144,118,888
"Block Group 3, Census Tract 3142, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:314200> block group:3",2092,251,2092,22,89196,758,63,Middlesex County,763,385,452
"Block Group 2, Census Tract 3118, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:311800> block group:2",1689,60,1689,426,41189,176,315,Middlesex County,702,252,143
"Block Group 3, Census Tract 3131.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:313101> block group:3",1063,0,1063,74,176434,339,36,Middlesex County,100,209,488
"Block Group 5, Census Tract 3141.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:314102> block group:5",1239,0,1239,32,51719,504,222,Middlesex County,485,142,459
"Block Group 4, Census Tract 3152, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:315200> block group:4",2073,16,2073,20,99879,613,106,Middlesex County,603,525,513
"Block Group 4, Census Tract 3342, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334200> block group:4",1086,0,1086,0,151979,357,64,Middlesex County,29,200,523
"Block Group 1, Census Tract 3344, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334400> block group:1",1362,6,1362,42,153631,448,13,Middlesex County,208,234,547
"Block Group 3, Census Tract 3344, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334400> block group:3",1651,52,1651,0,89698,483,162,Middlesex County,329,200,766
"Block Group 5, Census Tract 3344, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334400> block group:5",1171,0,1171,0,78343,540,43,Middlesex County,227,182,528
"Block Group 1, Census Tract 3381, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:338100> block group:1",1554,0,1554,74,225833,490,10,Middlesex County,74,92,824
"Block Group 4, Census Tract 3401, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:340100> block group:4",1997,222,1997,315,100890,635,129,Middlesex County,591,271,519
"Block Group 5, Census Tract 3401, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:340100> block group:5",853,158,853,55,103818,338,43,Middlesex County,153,112,359
"Block Group 1, Census Tract 3401, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:340100> block group:1",544,31,544,54,63417,242,19,Middlesex County,206,117,127
"Block Group 3, Census Tract 3401, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:340100> block group:3",1456,169,1456,43,124750,352,26,Middlesex County,455,304,473
"Block Group 1, Census Tract 3505, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:350500> block group:1",660,0,660,38,87500,110,228,Middlesex County,57,32,470
"Block Group 1, Census Tract 3743, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:374300> block group:1",1374,8,1374,56,250001,389,51,Middlesex County,18,73,773
"Block Group 2, Census Tract 3743, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:374300> block group:2",1338,0,1338,49,190500,433,97,Middlesex County,66,10,937
"Block Group 4, Census Tract 3872.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387201> block group:4",1261,0,1261,86,187813,316,58,Middlesex County,112,147,466
"Block Group 1, Census Tract 3872.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387201> block group:1",3293,59,3293,38,115725,1007,133,Middlesex County,204,632,1332
"Block Group 1, Census Tract 3881, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388100> block group:1",2780,12,2780,30,126923,863,163,Middlesex County,258,300,1385
"Block Group 2, Census Tract 3881, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388100> block group:2",1587,0,1587,0,161492,465,96,Middlesex County,111,143,825
"Block Group 3, Census Tract 3354, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:335400> block group:3",1614,32,1614,68,72857,457,221,Middlesex County,456,286,537
"Block Group 1, Census Tract 3364.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336401> block group:1",759,54,759,0,48913,160,240,Middlesex County,161,114,260
"Block Group 1, Census Tract 3397, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:339700> block group:1",912,13,912,0,77625,152,239,Middlesex County,147,76,358
"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:353200> block group:3",1218,175,1218,12,112935,255,287,Middlesex County,109,115,627
"Block Group 2, Census Tract 3101, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:310100> block group:2",1959,190,1959,565,43143,430,790,Middlesex County,770,285,664
"Block Group 5, Census Tract 3103, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:310300> block group:5",1218,230,1218,91,67035,182,282,Middlesex County,406,198,268
"Block Group 2, Census Tract 3336, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333600> block group:2",819,0,819,13,88346,285,0,Middlesex County,153,101,218
"Block Group 1, Census Tract 3362, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336200> block group:1",686,0,686,0,72431,277,38,Middlesex County,81,113,320
"Block Group 3, Census Tract 3362, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336200> block group:3",1355,0,1355,0,220750,410,0,Middlesex County,39,210,666
"Block Group 4, Census Tract 3362, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336200> block group:4",755,3,755,86,122727,222,78,Middlesex County,41,55,430
"Block Group 3, Census Tract 3392, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:339200> block group:3",943,14,943,104,97050,294,102,Middlesex County,166,229,354
"Block Group 1, Census Tract 3154.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:315402> block group:1",1227,12,1227,10,122500,387,15,Middlesex County,251,263,337
"Block Group 5, Census Tract 3163, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:316300> block group:5",2188,0,2188,40,117721,455,340,Middlesex County,456,387,617
"Block Group 3, Census Tract 3165, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:316500> block group:3",751,0,751,39,93839,267,54,Middlesex County,123,201,227
"Block Group 4, Census Tract 3165, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:316500> block group:4",1544,233,1544,272,95226,328,127,Middlesex County,557,513,138
"Block Group 4, Census Tract 3114, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:311400> block group:4",2386,276,2386,214,56024,253,784,Middlesex County,559,324,903
"Block Group 2, Census Tract 3172.03, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:317203> block group:2",2345,0,2345,28,101146,777,164,Middlesex County,491,333,865
"Block Group 1, Census Tract 3131.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:313101> block group:1",2646,66,2646,237,83777,781,250,Middlesex County,535,426,865
"Block Group 2, Census Tract 3171.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:317102> block group:2",960,0,960,25,124732,282,41,Middlesex County,99,163,363
"Block Group 4, Census Tract 3213, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:321300> block group:4",1779,78,1779,154,109421,538,147,Middlesex County,166,286,720
"Block Group 2, Census Tract 3213, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:321300> block group:2",1222,34,1222,745,63043,112,312,Middlesex County,695,156,154
"Block Group 3, Census Tract 3106.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:310602> block group:3",543,123,543,67,92019,142,123,Middlesex County,273,110,0
"Block Group 2, Census Tract 3107, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:310700> block group:2",1453,57,1453,297,38542,37,260,Middlesex County,303,169,139
"Block Group 2, Census Tract 3143.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:314302> block group:2",2089,27,2089,54,136750,562,44,Middlesex County,432,400,571
"Block Group 1, Census Tract 3162.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:316202> block group:1",1442,23,1442,43,106563,436,52,Middlesex County,389,269,348
"Block Group 5, Census Tract 3164, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:316400> block group:5",1488,26,1488,38,121250,456,7,Middlesex County,316,272,409
"Block Group 1, Census Tract 3172.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:317202> block group:1",1460,0,1460,0,135536,498,33,Middlesex County,183,86,781
"Block Group 2, Census Tract 3221, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:322100> block group:2",1089,0,1089,39,145729,335,3,Middlesex County,154,241,409
"Block Group 4, Census Tract 3684, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368400> block group:4",1595,0,1595,0,137188,587,24,Middlesex County,104,129,911
"Block Group 5, Census Tract 3691, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:369100> block group:5",1099,107,1099,22,127656,345,68,Middlesex County,231,179,432
"Block Group 3, Census Tract 3832, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383200> block group:3",1376,92,1376,439,66762,234,300,Middlesex County,481,223,252
